,days_until_funded,funded_amount,terms_disbursal_amount,loan_amount,repayment_term,contains_old,contains_improve,contains_help,contains_buy,contains_loan,negative_sentiment,positive_sentiment,overall_positive,description_length,is_female,is_bulgaria,is_iraq,is_zambia,is_thailand,is_health,is_ed,is_arts,is_agriculture,is_food,is_housing,african,asian,north_american,south_american,european,paid,refunded,defaulted,in_repayment
12513,0,1050,4500000.0,1050,12,1,0,1,1,1,4,4,0,216,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
12514,0,925,4000000.0,925,9,1,1,1,0,1,5,6,1,211,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
12515,0,750,30000.0,750,7,1,0,1,1,1,6,6,0,279,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12516,0,375,15000.0,375,7,0,0,1,1,1,5,3,0,240,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12517,0,925,4000000.0,925,12,1,0,1,1,1,5,6,1,257,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
12518,0,275,11000.0,275,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12519,0,250,10000.0,250,5,1,0,1,1,1,6,7,1,261,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12520,0,200,8000.0,200,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12521,0,750,30000.0,750,7,1,0,1,1,1,6,3,0,203,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12522,0,300,12000.0,300,7,1,0,1,1,1,6,3,0,195,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12523,0,1075,50000.0,1075,14,1,0,0,0,1,3,6,1,110,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12524,0,1500,145000.0,1500,11,1,0,0,0,1,4,7,1,163,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12525,0,1250,122000.0,1250,11,1,0,0,0,1,4,5,1,162,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12526,0,850,40000.0,850,14,1,0,0,1,1,5,6,1,147,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12527,0,600,12000000.0,600,11,1,1,1,1,1,7,8,1,91,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12528,0,125,5000.0,125,8,1,0,0,1,1,3,4,1,65,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12529,0,725,15000000.0,725,12,0,1,0,1,1,5,2,0,74,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12530,9,1050,1050.0,1050,14,1,0,0,1,1,3,5,1,67,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12531,0,725,15000000.0,725,11,1,0,0,1,1,4,7,1,105,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12532,0,725,15000000.0,725,11,1,0,0,1,1,6,8,1,138,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
12533,0,3600,5000000.0,3600,18,1,0,0,1,1,5,4,0,131,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
